experiment #,test_prediction,test_real
447,4,4
448,4,4
449,4,4
450,5,4
451,4,4
452,4,4
453,4,4
454,5,5
455,5,5
456,5,5
457,5,5
458,5,5
459,5,5
460,5,5
461,5,5
462,5,5
463,5,5
464,4,5
465,5,5
466,6,6
467,6,6
468,6,6
469,6,6
470,6,6
471,6,6
472,6,6
473,6,6
474,6,6
475,6,6
476,6,6
477,6,6
478,9,9
479,9,9
480,9,9
481,9,9
482,9,9
483,9,9
484,9,9
485,9,9
486,9,9
487,9,9
488,9,9
489,10,10
490,10,10
491,10,10
492,10,10
493,10,10
494,10,10
495,10,10
496,10,10
497,10,10
498,10,10
499,10,10
500,10,10
501,11,11
502,11,11
503,11,11
504,11,11
505,11,11
506,11,11
507,11,11
508,11,11
509,11,11
510,11,11
511,11,11
512,11,11
513,1,1
514,1,1
515,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,2,2
526,2,2
527,2,2
528,2,2
529,2,2
530,2,2
531,2,2
532,2,2
533,2,2
534,2,2
535,2,2
536,3,3
537,3,3
538,3,3
539,3,3
540,3,3
541,3,3
542,3,3
543,3,3
544,3,3
545,3,3
546,3,3
547,3,3
548,4,5
549,1,5
550,5,5
551,5,5
552,1,5
553,1,5
554,1,5
555,5,5
556,5,5
557,5,5
558,1,5
559,1,5
560,6,6
561,6,6
562,6,6
563,6,6
564,6,6
565,6,6
566,6,6
567,6,6
568,6,6
569,6,6
570,6,6
571,6,6
572,7,7
573,7,7
574,7,7
575,7,7
576,7,7
577,7,7
578,7,7
579,7,7
580,7,7
581,7,7
582,7,7
583,7,7
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,0,0
593,0,0
594,7,7
595,7,7
596,7,7
597,7,7
598,7,7
599,7,7
600,7,7
601,6,7
602,7,7
603,7,7
604,7,7
605,8,7
