experiment #,test_prediction,test_real
660,4,4
661,4,4
662,7,5
663,7,5
664,7,5
665,7,5
666,7,5
667,5,5
668,4,5
669,4,5
670,5,5
671,4,5
672,7,5
673,7,5
674,5,7
675,5,7
676,7,7
677,7,7
678,7,7
679,5,7
680,5,7
681,5,7
682,7,7
683,7,7
684,7,7
685,8,8
686,8,8
687,8,8
688,8,8
689,8,8
690,11,8
691,11,8
692,8,8
693,8,8
694,8,8
695,11,8
696,8,8
